GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Waarp Extensions for JRE 8 and greater/WaarpCompression,org.waarp.compress.zstdsafe,HuffmanTableWriterWorkspace,22,0,0,0,5,0,1,0,1,0
Waarp Extensions for JRE 8 and greater/WaarpCompression,org.waarp.compress.zstdsafe,HuffmanCompressionTable,987,0,110,0,206,0,65,0,10,0
Waarp Extensions for JRE 8 and greater/WaarpCompression,org.waarp.compress.zstdsafe,FrameHeader,147,0,16,0,29,0,12,0,4,0
Waarp Extensions for JRE 8 and greater/WaarpCompression,org.waarp.compress.zstdsafe,NodeTable,69,0,0,0,16,0,3,0,3,0
Waarp Extensions for JRE 8 and greater/WaarpCompression,org.waarp.compress.zstdsafe,CompressionParameters,1394,0,24,0,55,0,23,0,11,0
Waarp Extensions for JRE 8 and greater/WaarpCompression,org.waarp.compress.zstdsafe,BlockCompressionState,52,0,2,0,16,0,6,0,5,0
Waarp Extensions for JRE 8 and greater/WaarpCompression,org.waarp.compress.zstdsafe,FseTableReader,475,0,50,0,88,0,28,0,3,0
Waarp Extensions for JRE 8 and greater/WaarpCompression,org.waarp.compress.zstdsafe,DoubleFastBlockCompressor,643,0,67,0,127,0,44,0,9,0
Waarp Extensions for JRE 8 and greater/WaarpCompression,org.waarp.compress.zstdsafe,RepeatedOffsets,32,0,0,0,12,0,6,0,6,0
Waarp Extensions for JRE 8 and greater/WaarpCompression,org.waarp.compress.zstdsafe,FiniteStateEntropy,1320,0,120,0,285,0,68,0,8,0
Waarp Extensions for JRE 8 and greater/WaarpCompression,org.waarp.compress.zstdsafe,CompressionParameters.Strategy,105,0,0,0,13,0,3,0,3,0
Waarp Extensions for JRE 8 and greater/WaarpCompression,org.waarp.compress.zstdsafe,ZstdFrameCompressor,972,0,110,0,202,0,69,0,10,0
Waarp Extensions for JRE 8 and greater/WaarpCompression,org.waarp.compress.zstdsafe,SequenceStore,989,0,16,0,54,0,16,0,8,0
Waarp Extensions for JRE 8 and greater/WaarpCompression,org.waarp.compress.zstdsafe,Histogram,55,0,8,0,15,0,7,0,3,0
Waarp Extensions for JRE 8 and greater/WaarpCompression,org.waarp.compress.zstdsafe,XxHash64,265,0,10,0,53,0,14,0,9,0
Waarp Extensions for JRE 8 and greater/WaarpCompression,org.waarp.compress,MalformedInputException,31,0,0,0,9,0,4,0,4,0
Waarp Extensions for JRE 8 and greater/WaarpCompression,org.waarp.compress,WaarpZstdCodec,234,0,12,0,70,0,12,0,6,0
Waarp Extensions for JRE 8 and greater/WaarpCompression,org.waarp.compress,IncompatibleJvmException,4,0,0,0,2,0,1,0,1,0
Waarp Extensions for JRE 8 and greater/WaarpCompression,org.waarp.compress.zlib,ZlibCodec,385,0,20,0,116,0,27,0,17,0
Waarp Extensions for JRE 8 and greater/WaarpCompression,org.waarp.compress.zstdjni,ZstdJniCodec,211,0,2,0,51,0,10,0,9,0
Waarp Extensions for JRE 8 and greater/WaarpIcap,org.waarp.icap,IcapScanFile,1347,0,134,0,392,0,95,0,28,0
Waarp Extensions for JRE 8 and greater/WaarpIcap,org.waarp.icap,IcapError,201,0,0,0,22,0,4,0,4,0
Waarp Extensions for JRE 8 and greater/WaarpIcap,org.waarp.icap,IcapModel,95,0,0,0,9,0,3,0,3,0
Waarp Extensions for JRE 8 and greater/WaarpIcap,org.waarp.icap,IcapException,52,0,0,0,7,0,3,0,3,0
Waarp Extensions for JRE 8 and greater/WaarpIcap,org.waarp.icap,IcapClient,1984,0,142,0,460,0,124,0,51,0
Waarp Extensions for JRE 8 and greater/WaarpPassword,org.waarp.uip,WaarpUiPassword.new AbstractAction() {...},88,0,6,0,17,0,5,0,2,0
Waarp Extensions for JRE 8 and greater/WaarpPassword,org.waarp.uip,WaarpUiPassword.new FocusAdapter() {...},48,0,2,0,12,0,3,0,2,0
Waarp Extensions for JRE 8 and greater/WaarpPassword,org.waarp.uip,WaarpUiPassword.new FocusAdapter() {...},44,0,2,0,11,0,3,0,2,0
Waarp Extensions for JRE 8 and greater/WaarpPassword,org.waarp.uip,WaarpUiPassword.new AbstractAction() {...},61,0,2,0,15,0,3,0,2,0
Waarp Extensions for JRE 8 and greater/WaarpPassword,org.waarp.uip,WaarpUiPassword.new AbstractAction() {...},14,0,0,0,3,0,2,0,2,0
Waarp Extensions for JRE 8 and greater/WaarpPassword,org.waarp.uip,WaarpUiPassword.new Runnable() {...},14,0,0,0,5,0,2,0,2,0
Waarp Extensions for JRE 8 and greater/WaarpPassword,org.waarp.uip,WaarpUiPassword.new AbstractAction() {...},14,0,0,0,3,0,2,0,2,0
Waarp Extensions for JRE 8 and greater/WaarpPassword,org.waarp.uip,WaarpUiPassword.new AbstractAction() {...},13,0,0,0,3,0,2,0,2,0
Waarp Extensions for JRE 8 and greater/WaarpPassword,org.waarp.uip,WaarpUiPassword.new FocusAdapter() {...},41,0,2,0,11,0,3,0,2,0
Waarp Extensions for JRE 8 and greater/WaarpPassword,org.waarp.uip,WaarpUiPassword.new AbstractAction() {...},73,0,2,0,18,0,3,0,2,0
Waarp Extensions for JRE 8 and greater/WaarpPassword,org.waarp.uip,WaarpUiPassword.new WindowAdapter() {...},18,0,0,0,5,0,3,0,3,0
Waarp Extensions for JRE 8 and greater/WaarpPassword,org.waarp.uip,WaarpUiPassword.new AbstractAction() {...},74,0,4,0,16,0,4,0,2,0
Waarp Extensions for JRE 8 and greater/WaarpPassword,org.waarp.uip,WaarpUiPassword.new AbstractAction() {...},23,0,0,0,7,0,2,0,2,0
Waarp Extensions for JRE 8 and greater/WaarpPassword,org.waarp.uip,WaarpUiPassword.new AbstractAction() {...},24,0,0,0,8,0,2,0,2,0
Waarp Extensions for JRE 8 and greater/WaarpPassword,org.waarp.uip,WaarpPassword,611,0,100,0,182,0,68,0,18,0
Waarp Extensions for JRE 8 and greater/WaarpPassword,org.waarp.uip,WaarpUiPassword,1136,0,44,0,268,0,44,0,22,0
Waarp Extensions for JRE 8 and greater/WaarpThrift,org.waarp.thrift.r66,R66Request.R66RequestStandardScheme,453,0,84,0,132,0,50,0,2,0
Waarp Extensions for JRE 8 and greater/WaarpThrift,org.waarp.thrift.r66,R66Request,2085,0,382,0,573,0,295,0,86,0
Waarp Extensions for JRE 8 and greater/WaarpThrift,org.waarp.thrift.r66,R66Service.infoTransferQuery_args,334,0,40,0,95,0,46,0,26,0
Waarp Extensions for JRE 8 and greater/WaarpThrift,org.waarp.thrift.r66,R66Service.infoTransferQuery_result.infoTransferQuery_resultStandardScheme,70,0,8,0,24,0,6,0,2,0
Waarp Extensions for JRE 8 and greater/WaarpThrift,org.waarp.thrift.r66,R66Service.infoListQuery_args,334,0,40,0,95,0,46,0,26,0
Waarp Extensions for JRE 8 and greater/WaarpThrift,org.waarp.thrift.r66,R66Service.isStillRunning_args._Fields,115,0,8,0,24,0,12,0,7,0
Waarp Extensions for JRE 8 and greater/WaarpThrift,org.waarp.thrift.r66,R66Service.infoListQuery_result.infoListQuery_resultTupleSchemeFactory,5,0,0,0,1,0,1,0,1,0
Waarp Extensions for JRE 8 and greater/WaarpThrift,org.waarp.thrift.r66,R66Service.infoListQuery_result._Fields,87,0,6,0,21,0,10,0,7,0
Waarp Extensions for JRE 8 and greater/WaarpThrift,org.waarp.thrift.r66,R66Service.isStillRunning_args.isStillRunning_argsStandardScheme,122,0,16,0,41,0,11,0,2,0
Waarp Extensions for JRE 8 and greater/WaarpThrift,org.waarp.thrift.r66,R66Service.transferRequestQuery_result.transferRequestQuery_resultTupleSchemeFactory,5,0,0,0,1,0,1,0,1,0
Waarp Extensions for JRE 8 and greater/WaarpThrift,org.waarp.thrift.r66,R66Service.transferRequestQuery_args.transferRequestQuery_argsTupleScheme,50,0,6,0,15,0,5,0,2,0
Waarp Extensions for JRE 8 and greater/WaarpThrift,org.waarp.thrift.r66,R66Service.transferRequestQuery_args,334,0,40,0,95,0,46,0,26,0
Waarp Extensions for JRE 8 and greater/WaarpThrift,org.waarp.thrift.r66,R66Service.transferRequestQuery_result,334,0,40,0,95,0,46,0,26,0
Waarp Extensions for JRE 8 and greater/WaarpThrift,org.waarp.thrift.r66,R66Service.Processor.isStillRunning,30,0,0,0,9,0,4,0,4,0
Waarp Extensions for JRE 8 and greater/WaarpThrift,org.waarp.thrift.r66,R66Service.infoListQuery_result,363,0,44,0,99,0,51,0,29,0
Waarp Extensions for JRE 8 and greater/WaarpThrift,org.waarp.thrift.r66,ErrorCode,422,0,32,0,69,0,35,0,4,0
Waarp Extensions for JRE 8 and greater/WaarpThrift,org.waarp.thrift.r66,R66Service.infoTransferQuery_result.infoTransferQuery_resultStandardSchemeFactory,5,0,0,0,1,0,1,0,1,0
Waarp Extensions for JRE 8 and greater/WaarpThrift,org.waarp.thrift.r66,R66Request.R66RequestTupleSchemeFactory,5,0,0,0,1,0,1,0,1,0
Waarp Extensions for JRE 8 and greater/WaarpThrift,org.waarp.thrift.r66,R66Service.AsyncClient.isStillRunning_call,78,0,2,0,20,0,4,0,3,0
Waarp Extensions for JRE 8 and greater/WaarpThrift,org.waarp.thrift.r66,R66Service.infoTransferQuery_result,330,0,40,0,94,0,45,0,25,0
Waarp Extensions for JRE 8 and greater/WaarpThrift,org.waarp.thrift.r66,R66Service.Processor.infoTransferQuery,23,0,0,0,7,0,4,0,4,0
