GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.utility,WaarpSystemUtil,29,50,6,6,12,19,5,9,1,7
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.utility,Base64,333,5084,52,80,54,243,49,46,1,27
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.utility,SingletonUtils.NullInputStream,0,15,0,0,0,9,0,9,0,9
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.utility,SystemPropertyUtil,290,766,39,71,68,199,31,52,1,27
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.utility,Base64.new ObjectInputStream() {...},22,0,2,0,6,0,3,0,2,0
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.utility,WaarpThreadFactory,0,67,0,0,0,13,0,3,0,3
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.utility,BaseXx,0,158,0,0,0,26,0,11,0,11
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.xml,XmlHash,17,187,3,19,3,41,5,21,2,13
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.xml,XmlType,45,335,34,41,4,38,34,26,4,13
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.xml,XmlValue,945,659,118,89,165,163,93,63,6,28
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.xml,XmlUtil,166,986,34,102,39,266,32,71,3,32
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.xml,XmlRootHash,0,26,0,2,0,4,0,2,0,1
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.xml,XmlDecl,116,116,23,11,24,35,19,13,3,12
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.crypto,Des,2,9,0,0,1,4,1,4,1,4
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.crypto,HmacSha256,93,18,2,0,23,6,7,4,6,4
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.crypto,KeyManager,227,0,18,0,61,0,16,0,7,0
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.crypto,DynamicKeyManager,323,0,20,0,91,0,17,0,7,0
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.crypto,DesManager,12,0,0,0,3,0,3,0,3,0
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.crypto,DynamicKeyObject.INSTANCES,0,89,0,0,0,10,0,2,0,2
