GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Waarp Ftp Core/WaarpCommon,org.waarp.common.crypto,KeyObject,224,125,14,4,67,32,18,16,9,16
Waarp Ftp Core/WaarpCommon,org.waarp.common.crypto,DynamicKeyObject.INSTANCESMAX,0,89,0,0,0,10,0,2,0,2
Waarp Ftp Core/WaarpCommon,org.waarp.common.crypto,Blowfish,11,0,0,0,5,0,5,0,5,0
Waarp Ftp Core/WaarpCommon,org.waarp.common.crypto,HmacSha1Manager,14,0,0,0,4,0,4,0,4,0
Waarp Ftp Core/WaarpCommon,org.waarp.common.crypto,HmacSha1,19,18,0,0,5,6,5,4,5,4
Waarp Ftp Core/WaarpCommon,org.waarp.common.logging,WaarpJdkLoggerFactory,5,75,2,14,2,28,2,12,0,4
Waarp Ftp Core/WaarpCommon,org.waarp.common.logging,WaarpSlf4JLoggerFactory,46,97,14,10,16,31,13,7,0,6
Waarp Ftp Core/WaarpCommon,org.waarp.common.logging,WaarpJdkLogger,142,429,38,33,31,109,40,34,4,32
Waarp Ftp Core/WaarpCommon,org.waarp.common.logging,WaarpSlf4JLogger,356,127,36,11,61,32,45,14,19,14
Waarp Ftp Core/WaarpCommon,org.waarp.common.logging,FormattingTuple,0,60,0,6,0,18,0,9,0,6
Waarp Ftp Core/WaarpCommon,org.waarp.common.logging,WaarpLogLevel,0,64,0,0,0,7,0,1,0,1
Waarp Ftp Core/WaarpCommon,org.waarp.common.logging,WaarpLoggerFactory,21,102,3,13,8,40,5,16,2,11
Waarp Ftp Core/WaarpCommon,org.waarp.common.logging,SysErrLogger,23,45,0,0,7,13,3,7,3,7
Waarp Ftp Core/WaarpCommon,org.waarp.common.logging,PrintOnlyWarningLogbackStatusListener,5,29,2,4,2,9,2,4,0,3
